"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979771","16.10.5.1.4.1","52.1","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979772","16.10.5.1.5.1","21000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979789","16.10.6.1.4.1","55.1","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979790","16.10.6.1.5.1","45000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979807","16.10.7.1.4.1","58.8","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979808","16.10.7.1.5.1","65000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980851","16.19.2.1.4.1","46.1","","","","1"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980852","16.19.2.1.5.1","414000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980869","16.19.3.1.4.1","28.8","","","","1"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980870","16.19.3.1.5.1","500000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980887","16.19.4.1.4.1","58.3","","","","1"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980888","16.19.4.1.5.1","486000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980905","16.19.5.1.4.1","54.2","","","","1"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980906","16.19.5.1.5.1","400000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980923","16.19.6.1.4.1","45.4","","","","1"
